name,freereturns,itemssold,status,price,shipping
Apple iPhone XR (PRODUCT)RED - 64GB - (Unlocked) A1984 (CDMA + GSM),False,,Pre-Owned,14000,890
Apple iPhone SE 2nd Gen. (PRODUCT)RED - 128GB (Unlocked) A2275 (CDMA + GSM),False,,Pre-Owned,28500,540
Apple iPhone 12 (PRODUCT)RED - 64GB (Sprint),False,,Pre-Owned,44400,1065
Apple iPhone 12 mini (PRODUCT)RED - 64GB (AT&T) IMEI Issues - Excellent Cond.,True,,Pre-Owned,40000,0
Apple iPhone 8 (PRODUCT)RED - 64GB - (Unlocked) A1863 (CDMA + GSM),True,,Parts Only,7100,0
Apple iPhone SE (2nd Gen.) 64GB PRODUCT Red Unlocked Fair Condition,True,0,Pre-Owned,19999,0
Product Info Booklet for Apple Mac Pro 2014 w/ Stickers & Microfiber Cloth,False,,Open Box,749,
Apple iPhone SE 2nd Gen. (PRODUCT)RED - 128GB (Unlocked) A2275 #L944,True,,Pre-Owned,27400,0
Apple iPhone SE 2nd Gen. (PRODUCT)RED - 128GB (Unlocked) A2275 (CDMA + GSM) (CA),True,,Pre-Owned,26999,
Apple iPhone 11 - 64GB - Product  Red (Boost Mobile) For Parts,False,,Parts Only,5000,920
Mophie Juice Pack Air for Apple iPhone 7+/8 Plus - Product(RED) ,False,,Brand New,6475,0
Apple iPhone 13 mini 128GB - Product (RED) (T-Mobile USA Only) NEW SEALED in Box,False,0,Brand New,74999,0
iphone 12 64gb *product Red* READ DESCRIPTION,False,0,Pre-Owned,42000,550
,False,,,,
iphone 12 64gb *product Red* READ DESCRIPTION,False,0,Pre-Owned,42000,550
Mophie Juice Pack Air for Apple iPhone 7+/8 Plus - Product(RED) ,False,,Brand New,6475,0
New ListingApple iPhone 11 (PRODUCT)RED - 64GB - (T-Mobile) - A2111 - 6F - FOR PARTS,True,,Parts Only,28499,
Apple iPhone 12 (5G) 64GB Factroy Unlocked GSM+CDMA Global Ready ,True,0,Open Box,64488,
Apple iPhone 11 (PRODUCT)RED - 128GB (Unlocked) A2111 (CDMA + GSM),False,,Open Box,85000,100
Unlocked Apple iPhone 11 | 64GB Storage | Product Red + Original Box,False,,Pre-Owned,32500,1795
New ListingApple iPhone 12 mini (PRODUCT)RED - 128GB (Unlocked),False,,Pre-Owned,60000,550
Apple iPhone 12 Mini Silicone Case (Product) RED,False,,Pre-Owned,1399,795
"Apple Watch 44mm Sport band SMOKE FREE (PRODUCT) Red, used. MU9N2AM/A",False,,Pre-Owned,2199,0
iPhone 11 64gb Unlocked Product RED,False,,Pre-Owned,23950,1455
GENUINE Apple Leather Case FOR iPhone 11 PRO 5.8” (Product Red) MWYF2ZM/A USED!,False,,Pre-Owned,1451,0
Apple iPhone XR Factory Unlocked 64gb product red,False,,Brand New,30000,0
Apple iPhone 13 (PRODUCT)RED - 128GB - (AT&T) - Smartphone ,True,,Pre-Owned,75000,
Apple iPhone 12 mini (PRODUCT)RED - 256GB (Unlocked) W/ Accessories!,False,,Pre-Owned,68000,0
New ListingUnlocked Apple iPhone 7 Plus 128GB Product Red A1661 MPR02LL/A,True,,Pre-Owned,21499,0
Apple iPhone 12 mini (PRODUCT)RED - 256GB (Unlocked) - VERY GOOD,True,0,Very Good - Refurbished,59999,0
New ListingApple iPod nano 2nd Generation Red Product 8GB New Battery. New LCD,True,,Refurbished,4995,0
Genuine Apple iPhone 7 Plus & 8 Plus Leather Case - (PRODUCT) RED - New,False,,Brand New,3426,0
Apple iPhone 11 (PRODUCT)RED - 64GB (T-mobile Sprint)  B Good,True,0,Good - Refurbished,38499,
Apple iPhone 11 64GB (Product)Red AT&T ONLY MWHV2LL/A GRADE C No SIM CB701Au10,True,,Pre-Owned,20300,0
"Apple iPhone XR 256GB|128GB|64GB| GSM/ CDMA Factroy Unlocked- ""Very Good""",True,0,Very Good - Refurbished,30988,
Apple - AirTag Leather Key Ring - (PRODUCT) RED - VG - No Box,True,,Pre-Owned,2399,0
OEM Braided Solo Loop Apple Watch Band 45mm Authentic Product RED Two Tone Rare,False,,Brand New,7995,0
New ListingApple iPhone XR (PRODUCT)RED - 128GB - (Unlocked) A1984 (CDMA + GSM),False,,Parts Only,19500,985
New ListingApple iPhone XR 64GB - Product Red - Fully Unlocked,False,,Pre-Owned,37500,2115
Apple iPhone 8 (PRODUCT)RED - 64GB - (AT&T) A1905 (GSM),False,,Pre-Owned,19000,700
PRELOVED NEEDS TLC! Apple iPhone 8 (PRODUCT)RED 256GB Sprint!,False,,Pre-Owned,13500,590
Apple iPhone 11 (PRODUCT)RED - 64GB (Unlocked) Has Display Message - Excellent,True,0,Pre-Owned,39999,
Genuine / Official Apple iPhone XS Leather Case - (PRODUCT) RED - New,False,,Brand New,3381,0
Apple iPhone 13 (PRODUCT)RED - 128GB - (T-Mobile),False,,Brand New,79999,1999
Apple iPhone 8 Plus (PRODUCT)RED - 64GB - (AT&T) A1897 (GSM),True,,Parts Only,6700,0
Apple iPhone 8 Plus (PRODUCT)RED - 64GB - (AT&T) A1897 (GSM) - *FOR PARTS*,True,,Parts Only,7499,
Apple iPhone 12 mini (PRODUCT)RED - 64GB (T-Mobile),False,0,Brand New,50000,1095
GENUINE Apple Leather Folio For iPhone XS Max (6.5”)MRX32ZM/A (PRODUCT) USED!,False,,Pre-Owned,1091,0
New ListingApple iPhone 12 Pro Max - 128GB - Gold (Factory Unlocked) + PRODUCT(RED) Case,False,,Pre-Owned,97800,0
New ListingApple iPhone 11 (PRODUCT)RED - 64GB (Rogers Wireless) A2160 (CDMA + GSM) (CA),False,,Parts Only,7554,1669
Apple iPhone 7 Plus Red Product Used Still Works Crack Screen And Camera,False,,Pre-Owned,9499,510
New ListingApple iPhone XR - 64GB - (PRODUCT)RED (Verizon) A1984 (CDMA + GSM),False,,Open Box,37000,920
Apple iPhone XR 64gb Unlocked Product Red Used,False,0,Pre-Owned,31000,1595
Apple iPhone XR (PRODUCT)RED - 64GB - (Unlocked) A1984 (CDMA + GSM),True,,Parts Only,2250,0
Apple iPhone 12 mini (PRODUCT)RED - 64GB (T-Mobile) +512GB iOS Drive.,False,0,Pre-Owned,48500,0
Apple iPhone 12 64GB PRODUCT Red AT&T - NEW & SEALED,True,,Brand New,68299,0
Apple iPhone XR (PRODUCT)RED - For Parts,False,0,Parts Only,8500,0
Apple iPhone 12 (PRODUCT)RED - 64GB (AT&T),False,,Pre-Owned,40000,530
Apple iPhone XR (PRODUCT)RED - 64GB - (Unlocked) A1984 (CDMA + GSM),False,0,Brand New,40000,1500
New Sealed Genuine Apple Watch Sport Band OEM 45mm/44mm - Product Red,False,,Brand New,3999,0
"Apple iPhone 8 Plus (PRODUCT)RED A1864 AS IS ""iPhone Disabled Connect to iTunes""",False,,Parts Only,1250,595
Apple iPhone 11 (PRODUCT)RED - 128GB (Unlocked) A2111 (CDMA + GSM),False,,Pre-Owned,45500,
